Subject,Course Name,Duration,Credits,Grades Open,Global Scholars Requirement,Type

Digital Literacy and Computer Science (DLCS),AP Computer Science Principles,Full,4,10-12,No
Digital Literacy and Computer Science (DLCS),Web Publishing,Semester,2,9-12,No
Digital Literacy and Computer Science (DLCS),Intro to Programming,Semester,2,9-12,No
Digital Literacy and Computer Science (DLCS),Game Programming,Semester,2,9-12,No
Digital Literacy and Computer Science (DLCS),Java Programming,Full,4,10-12,No
Digital Literacy and Computer Science (DLCS),Java Programming [AP Computer Science A],Full,4,11-12,No
Digital Literacy and Computer Science (DLCS),Creative Computing,Semester,2,9-12,No
Digital Literacy and Computer Science (DLCS),Mobile App Development,Full,4,10-12,No
Digital Literacy and Computer Science (DLCS),Software Development Seminar,Full,4,11-12,No


FATA,TRANSPORTATION SYSTEMS,Semester,2,9-12,No
FATA,WOODWORKING,Semester,2,9-12,No
FATA,WOODWORKING II,Semester,2,9-12,No
FATA,WOODWORKING III,Semester,2,9-12,No
FATA,ARCHITECTURAL DESIGN,Semester,2,9-12,No
FATA,3D MODELING AND RAPID PROTOTYPING,Semester,2,9-12,No
FATA,AP ART AND DESIGN,Full,4,9-12,Yes
FATA,AP STUDIO ART,Full,4,9-12,No
FATA,DRAWING,Semester,2,9-12,No
FATA,PAINTING,Semester,2,9-12,No
FATA,DRAWING and PAINTING II,Semester,2,10-12,No
FATA,METALSMITHING I,Semester,2,9-12,No
FATA,METALSMITHING II,Semester,2,10-12,No
FATA,DIGITAL IMAGING,Semester,2,9-12,No
FATA,EXPLORING ART,Semester,2,9-12,No
FATA,CERAMICS 1,Full,4,9-12,No
FATA,CERAMICS II,Semester,2,9-12,No
FATA,CERAMICS III,Semester,2,9-12,No
FATA,B/W FILM PHOTOGRAPHY,Full,4,9-12,No
FATA,PHOTOGRAPHY II,Semester,2,10-12,No
FATA,DIGITAL PHOTOGRAPHY,Semester,2,9-12,No
FATA,GRAPHIC DESIGN,Semester,2,9-12,Yes
FATA,DRAMA I,Semester,2,9-12,No
FATA,COLLABORATIVE THEATER,Semester,2,9-12,No
FATA,INTRODUCTION TO ANIMATION,Semester,2,9-12,No
FATA,VIDEO PRODUCTION,Semester,2,9-12,No
FATA,BROADCAST JOURNALISM,Semester,2,9-12,No
FATA,MEDIA and VISUAL LITERACY,Semester,2,9-12,Yes
FATA,MEDIA AND VISUAL LITERACY II,Semester,2,9-12,No



FATA,TREBLE CHOIR,Full,4,9-12,No
FATA,L-S CONCERT CHOIR,Full,4,9-12,Yes
FATA,CONCERT CHOIR WRAP,Semester,0,10-12,No
FATA,CONCERT BAND,Full,4,9-12,Yes
FATA,SYMPHONIC BAND,Full,4,9-12,Yes
FATA,SYMPHONIC BAND WRAP,Semester,0,10-12,Yes
